sample_names,Year,Location,Env,Pop,lat,lon
22.BT1,2022,BT,D,Teide,28.25475,-16.621229
22.BT10,2022,BT,D,Teide,28.25475,-16.621229
22.BT12,2022,BT,D,Teide,28.25475,-16.621229
22.BT2,2022,BT,D,Teide,28.25475,-16.621229
22.BT3,2022,BT,D,Teide,28.25475,-16.621229
22.BT4,2022,BT,D,Teide,28.25475,-16.621229
22.BT5,2022,BT,D,Teide,28.25475,-16.621229
22.BT6,2022,BT,D,Teide,28.25475,-16.621229
22.BT7,2022,BT,D,Teide,28.25475,-16.621229
22.BT8,2022,BT,D,Teide,28.25475,-16.621229
22.BT9,2022,BT,D,Teide,28.25475,-16.621229
22.CT1,2022,CT,D,Teide,28.270675,-16.640122
22.CT10,2022,CT,D,Teide,28.270675,-16.640122
22.CT12,2022,CT,D,Teide,28.270675,-16.640122
22.CT2,2022,CT,D,Teide,28.270675,-16.640122
22.CT3,2022,CT,D,Teide,28.270675,-16.640122
22.CT4,2022,CT,D,Teide,28.270675,-16.640122
22.CT5,2022,CT,D,Teide,28.270675,-16.640122
22.CT6,2022,CT,D,Teide,28.270675,-16.640122
22.CT7,2022,CT,D,Teide,28.270675,-16.640122
22.CT8,2022,CT,D,Teide,28.270675,-16.640122
22.CT9,2022,CT,D,Teide,28.270675,-16.640122
22.G1,2022,GR,A,South,28.117306,-16.58673
22.G10,2022,GR,A,South,28.117306,-16.58673
22.G11,2022,GR,A,South,28.117306,-16.58673
22.G2,2022,GR,A,South,28.117306,-16.58673
22.G3,2022,GR,A,South,28.117306,-16.58673
22.G4,2022,GR,A,South,28.117306,-16.58673
22.G5,2022,GR,A,South,28.117306,-16.58673
22.G6,2022,GR,A,South,28.117306,-16.58673
22.G7,2022,GR,A,South,28.117306,-16.58673
22.G8,2022,GR,A,South,28.117306,-16.58673
22.G9,2022,GR,A,South,28.117306,-16.58673
22.LG1,2022,LG,C,North,28.382893,-16.659801
22.LG10,2022,LG,C,North,28.382893,-16.659801
22.LG13,2022,LG,C,North,28.382893,-16.659801
22.LG15,2022,LG,C,North,28.382893,-16.659801
22.LG17,2022,LG,C,North,28.382893,-16.659801
22.LG2,2022,LG,C,North,28.382893,-16.659801
22.LG4,2022,LG,C,North,28.382893,-16.659801
22.LG5,2022,LG,C,North,28.382893,-16.659801
22.LG6,2022,LG,C,North,28.382893,-16.659801
22.LG7,2022,LG,C,North,28.382893,-16.659801
22.LG8,2022,LG,C,North,28.382893,-16.659801
22.LP10,2022,LP,C,North,28.360128,-16.700078
22.LP11,2022,LP,C,North,28.360128,-16.700078
22.LP12,2022,LP,C,North,28.360128,-16.700078
22.LP13,2022,LP,C,North,28.360128,-16.700078
22.LP16,2022,LP,C,North,28.360128,-16.700078
22.LP17,2022,LP,C,North,28.360128,-16.700078
22.LP3,2022,LP,C,North,28.360128,-16.700078
22.LP34,2022,LP,C,North,28.360128,-16.700078
22.LP4,2022,LP,C,North,28.360128,-16.700078
22.LP8,2022,LP,C,North,28.360128,-16.700078
22.LP9,2022,LP,C,North,28.360128,-16.700078
22.LR1,2022,LR,C,North,28.3941,-16.5823
22.LR10,2022,LR,C,North,28.3941,-16.5823
22.LR12,2022,LR,C,North,28.3941,-16.5823
22.LR2,2022,LR,C,North,28.3941,-16.5823
22.LR3,2022,LR,C,North,28.3941,-16.5823
22.LR4,2022,LR,C,North,28.3941,-16.5823
22.LR5,2022,LR,C,North,28.3941,-16.5823
22.LR6,2022,LR,C,North,28.3941,-16.5823
22.LR7,2022,LR,C,North,28.3941,-16.5823
22.LR8,2022,LR,C,North,28.3941,-16.5823
22.LR9,2022,LR,C,North,28.3941,-16.5823
22.M1,2022,EM,A,South,28.065366,-16.547213
22.M10,2022,EM,A,South,28.065366,-16.547213
22.M11,2022,EM,A,South,28.065366,-16.547213
22.M2,2022,EM,A,South,28.065366,-16.547213
22.M3,2022,EM,A,South,28.065366,-16.547213
22.M4,2022,EM,A,South,28.065366,-16.547213
22.M5,2022,EM,A,South,28.065366,-16.547213
22.M6,2022,EM,A,South,28.065366,-16.547213
22.M7,2022,EM,A,South,28.065366,-16.547213
22.M8,2022,EM,A,South,28.065366,-16.547213
22.M9,2022,EM,A,South,28.065366,-16.547213
22.V1,2022,VL,B,South,28.157815,-16.641234
22.V10,2022,VL,B,South,28.157815,-16.641234
22.V12,2022,VL,B,South,28.157815,-16.641234
22.V2,2022,VL,B,South,28.157815,-16.641234
22.V3,2022,VL,B,South,28.157815,-16.641234
22.V4,2022,VL,B,South,28.157815,-16.641234
22.V5,2022,VL,B,South,28.157815,-16.641234
22.V6,2022,VL,B,South,28.157815,-16.641234
22.V7,2022,VL,B,South,28.157815,-16.641234
22.V8,2022,VL,B,South,28.157815,-16.641234
22.V9,2022,VL,B,South,28.157815,-16.641234
18.CR12,2018,CR,B,South,28.1318,-16.61355
18.CR1,2018,CR,B,South,28.1318,-16.61355
18.CR2,2018,CR,B,South,28.1318,-16.61355
18.CR4,2018,CR,B,South,28.1318,-16.61355
18.CR5,2018,CR,B,South,28.1318,-16.61355
21.CR1,2021,CR,B,South,28.1318,-16.61355
21.CR2,2021,CR,B,South,28.1318,-16.61355
